"path","category","extension","size_bytes","line_count","likely_binary","secret_hits","destructive_hits","network_hits","auth_hits","legacy_hits","notes"
"frontend/public/img/znc.png","frontend",".png","33758","","True","0","0","0","0","0",""
"frontend/public/next.svg","frontend",".svg","1375","","True","0","0","0","0","0",""
"frontend/public/vercel.svg","frontend",".svg","128","","True","0","0","0","0","0",""
"frontend/public/window.svg","frontend",".svg","385","","True","0","0","0","0","0",""
"frontend/src/app/favicon.ico","frontend",".ico","25931","","True","0","0","0","0","0",""
"frontend/src/app/globals.css","frontend",".css","566","24","False","0","0","0","0","0",""
"frontend/src/app/layout.tsx","frontend",".tsx","1644","46","False","0","0","0","0","0",""
"frontend/src/app/login/page.tsx","frontend",".tsx","7625","137","False","12","0","0","0","0",""
"frontend/src/app/page.tsx","frontend",".tsx","5573","132","False","0","0","0","0","0",""
"frontend/src/components/charts/Sparkline.tsx","frontend",".tsx","5707","138","False","0","0","0","0","0",""
"frontend/src/components/layout/AuthGuard.tsx","frontend",".tsx","1183","32","False","0","0","0","0","0",""
"frontend/src/components/layout/Header.tsx","frontend",".tsx","2516","51","False","0","0","0","0","2",""
"frontend/src/components/layout/OnboardingWizard.tsx","frontend",".tsx","10166","174","False","0","0","0","0","0",""
"frontend/src/components/layout/Sidebar.tsx","frontend",".tsx","8547","149","False","0","0","0","0","0",""
"frontend/src/components/layout/SkeletonBox.tsx","frontend",".tsx","1585","41","False","0","0","0","0","0",""
"frontend/src/components/layout/ToastContainer.tsx","frontend",".tsx","2789","78","False","0","0","0","0","0",""
"frontend/src/components/tabs/AiChatTab.tsx","frontend",".tsx","13454","227","False","0","0","0","0","0",""
"frontend/src/components/tabs/BackupTab.tsx","frontend",".tsx","11316","199","False","0","0","0","0","0",""
"frontend/src/components/tabs/FileshareTab.tsx","frontend",".tsx","8388","151","False","0","0","0","0","0",""
"frontend/src/components/tabs/MarketplaceTab.tsx","frontend",".tsx","17372","332","False","0","0","0","0","0",""
"frontend/src/components/tabs/OverviewTab.tsx","frontend",".tsx","5453","126","False","0","0","0","0","0",""
"frontend/src/components/tabs/ProfileTab.tsx","frontend",".tsx","9621","177","False","5","0","1","0","0",""
"frontend/src/components/tabs/SecurityTab.tsx","frontend",".tsx","4032","61","False","4","0","0","0","0",""
"frontend/src/components/tabs/ServicesTab.tsx","frontend",".tsx","14102","275","False","0","0","0","0","0",""
"frontend/src/components/tabs/SettingsTab.tsx","frontend",".tsx","17095","291","False","21","0","1","0","0",""
"frontend/src/components/tabs/UsersTab.tsx","frontend",".tsx","11073","204","False","0","0","0","0","0",""
"frontend/src/components/widgets/CpuWidget.tsx","frontend",".tsx","4144","85","False","0","0","0","0","0",""
"frontend/src/components/widgets/DiskIOWidget.tsx","frontend",".tsx","2916","62","False","0","0","0","0","0",""
"frontend/src/components/widgets/MemoryWidget.tsx","frontend",".tsx","3992","77","False","0","0","0","0","0",""
"frontend/src/components/widgets/NetworkWidget.tsx","frontend",".tsx","3489","71","False","0","0","0","0","0",""
"frontend/src/components/widgets/ProcessWidget.tsx","frontend",".tsx","4770","75","False","0","0","0","0","0",""
"frontend/src/components/widgets/StorageWidget.tsx","frontend",".tsx","4483","80","False","0","0","0","0","0",""
"frontend/src/contexts/AuthContext.tsx","frontend",".tsx","2647","97","False","2","0","0","0","0",""
"frontend/src/contexts/ToastContext.tsx","frontend",".tsx","1512","52","False","0","0","0","0","0",""
"frontend/src/contexts/WebSocketContext.tsx","frontend",".tsx","3134","94","False","0","0","0","0","0",""
"frontend/src/hooks/useMarketplace.ts","frontend",".ts","1099","46","False","0","0","0","0","0",""
"frontend/src/hooks/useMetrics.ts","frontend",".ts","2592","68","False","0","0","0","0","0",""
"frontend/src/types/dashboard.ts","frontend",".ts","2384","113","False","0","0","0","0","0",""
"frontend/tsconfig.json","frontend",".json","704","35","False","0","0","0","0","0",""
"package.json","root-or-other",".json","50","6","False","0","0","0","0","0",""
"packages/README.md","packages",".md","57","3","False","0","0","0","0","0",""
"packages/common.sh","packages",".sh","344","14","False","0","0","0","0","0",""
"packages/package/install/installpackage-autobrr","packages","[noext]","3722","92","False","2","0","7","0","0",""
"packages/package/install/installpackage-autodl","packages","[noext]","3621","97","False","4","1","7","0","0",""
"packages/package/install/installpackage-bazarr","packages","[noext]","3958","92","False","0","0","8","0","0",""
"packages/package/install/installpackage-btsync","packages","[noext]","3320","80","False","0","0","6","0","0",""
"packages/package/install/installpackage-couchpotato","packages","[noext]","2438","71","False","1","0","5","0","0",""
"packages/package/install/installpackage-csf","packages","[noext]","8540","172","False","5","0","5","1","0",""
"packages/package/install/installpackage-deluge","packages","[noext]","3242","91","False","1","0","4","0","0",""
"packages/package/install/installpackage-emby","packages","[noext]","3710","83","False","0","1","14","0","0",""
"packages/package/install/installpackage-fail2ban","packages","[noext]","2004","58","False","0","0","1","0","0",""
"packages/package/install/installpackage-filebrowser","packages","[noext]","2790","64","False","0","1","5","0","0",""
"packages/package/install/installpackage-flaresolverr","packages","[noext]","1604","39","False","0","0","3","0","0",""
"packages/package/install/installpackage-flood","packages","[noext]","3003","75","False","0","1","5","0","0",""
"packages/package/install/installpackage-gitea","packages","[noext]","3833","90","False","1","0","7","0","0",""
"packages/package/install/installpackage-grafana","packages","[noext]","3038","59","False","0","0","6","0","0",""
"packages/package/install/installpackage-headphones","packages","[noext]","5461","157","False","7","0","5","0","0",""
"packages/package/install/installpackage-homeassistant","packages","[noext]","3758","85","False","0","0","4","0","0",""
"packages/package/install/installpackage-jackett","packages","[noext]","4884","126","False","1","0","11","0","0",""
"packages/package/install/installpackage-jellyfin","packages","[noext]","2768","67","False","0","0","6","0","0",""
"packages/package/install/installpackage-letsencrypt","packages","[noext]","2391","64","False","0","5","3","0","0",""
"packages/package/install/installpackage-lidarr","packages","[noext]","5547","163","False","1","2","10","0","0",""
"packages/package/install/installpackage-medusa","packages","[noext]","4298","109","False","1","0","6","0","0",""
"packages/package/install/installpackage-navidrome","packages","[noext]","4215","104","False","0","0","7","0","0",""
"packages/package/install/installpackage-netdata","packages","[noext]","1554","36","False","0","0","5","0","0",""
"packages/package/install/installpackage-nextcloud","packages","[noext]","4048","120","False","22","1","4","0","0",""
"packages/package/install/installpackage-nzbget","packages","[noext]","3573","90","False","0","0","7","0","0",""
"packages/package/install/installpackage-nzbhydra","packages","[noext]","2849","86","False","1","0","5","0","0",""
"packages/package/install/installpackage-ombi","packages","[noext]","3686","89","False","0","0","10","0","0",""
"packages/package/install/installpackage-organizr","packages","[noext]","2687","63","False","0","1","3","0","0",""
"packages/package/install/installpackage-overseerr","packages","[noext]","3511","88","False","0","2","6","0","0",""
"packages/package/install/installpackage-pihole","packages","[noext]","2762","66","False","7","1","4","0","0",""
"packages/package/install/installpackage-plex","packages","[noext]","2964","73","False","0","0","6","0","0",""
"packages/package/install/installpackage-portainer","packages","[noext]","2590","60","False","0","0","5","0","0",""
"packages/package/install/installpackage-prometheus","packages","[noext]","5724","143","False","0","2","10","0","0",""
"packages/package/install/installpackage-prowlarr","packages","[noext]","4052","97","False","0","1","8","0","0",""
"packages/package/install/installpackage-pyload","packages","[noext]","5295","158","False","0","0","9","0","0",""
"packages/package/install/installpackage-qbittorrent","packages","[noext]","3472","83","False","0","0","4","0","0",""
"packages/package/install/installpackage-quassel","packages","[noext]","2380","63","False","0","0","3","0","0",""
"packages/package/install/installpackage-quota","packages","[noext]","2821","76","False","0","0","2","0","0",""
"packages/package/install/installpackage-radarr","packages","[noext]","5451","161","False","1","1","10","0","0",""
"packages/package/install/installpackage-rapidleech","packages","[noext]","2182","68","False","1","0","3","0","0",""
"packages/package/install/installpackage-rclone","packages","[noext]","2402","88","False","0","2","4","0","0",""
"packages/package/install/installpackage-readarr","packages","[noext]","3480","89","False","0","1","5","0","0",""
"packages/package/install/installpackage-sabnzbd","packages","[noext]","2855","99","False","1","0","7","0","0",""
"packages/package/install/installpackage-sickgear","packages","[noext]","11238","358","False","10","2","5","0","0",""
"packages/package/install/installpackage-sickrage","packages","[noext]","2620","78","False","1","0","5","0","0",""
"packages/package/install/installpackage-sonarr","packages","[noext]","5232","157","False","0","0","7","0","0",""
"packages/package/install/installpackage-subsonic","packages","[noext]","2443","74","False","1","1","5","0","0",""
"packages/package/install/installpackage-syncthing","packages","[noext]","2005","57","False","1","0","6","0","0",""
"packages/package/install/installpackage-tautulli","packages","[noext]","2153","68","False","1","0","5","0","0",""
"packages/package/install/installpackage-transmission","packages","[noext]","7513","221","False","2","2","5","0","0",""
"packages/package/install/installpackage-uptimekuma","packages","[noext]","3518","88","False","0","2","6","0","0",""
"packages/package/install/installpackage-vaultwarden","packages","[noext]","2555","58","False","2","0","5","0","0",""
"packages/package/install/installpackage-wireguard","packages","[noext]","3216","68","False","0","0","1","0","0",""
"packages/package/install/installpackage-x2go","packages","[noext]","2461","70","False","0","0","6","0","0",""
"packages/package/install/installpackage-znc","packages","[noext]","2164","50","False","1","0","5","0","0",""
"packages/package/remove/removepackage-autobrr","packages","[noext]","644","21","False","0","1","0","0","0",""
"packages/package/remove/removepackage-autodl","packages","[noext]","1281","44","False","1","3","2","0","1",""
"packages/package/remove/removepackage-bazarr","packages","[noext]","618","21","False","0","1","0","0","0",""
"packages/package/remove/removepackage-btsync","packages","[noext]","1052","35","False","0","1","2","0","1",""
"packages/package/remove/removepackage-couchpotato","packages","[noext]","1183","37","False","0","1","2","0","1",""
"packages/package/remove/removepackage-cron","packages","[noext]","2504","81","False","1","0","2","0","1",""
"packages/package/remove/removepackage-csf","packages","[noext]","878","31","False","0","0","2","0","0",""
"packages/package/remove/removepackage-deluge","packages","[noext]","739","21","False","0","1","0","0","0",""
"packages/package/remove/removepackage-emby","packages","[noext]","1014","33","False","0","3","2","0","0",""
"packages/package/remove/removepackage-fail2ban","packages","[noext]","596","21","False","0","0","0","0","0",""
"packages/package/remove/removepackage-filebrowser","packages","[noext]","672","21","False","0","1","0","0","0",""
"packages/package/remove/removepackage-flaresolverr","packages","[noext]","535","21","False","0","0","0","0","0",""
"packages/package/remove/removepackage-flood","packages","[noext]","631","21","False","0","1","0","0","0",""
"packages/package/remove/removepackage-gitea","packages","[noext]","642","21","False","0","1","0","0","0",""
"packages/package/remove/removepackage-grafana","packages","[noext]","683","21","False","0","0","0","0","0",""
"packages/package/remove/removepackage-headphones","packages","[noext]","1293","49","False","0","2","0","0","1",""
"packages/package/remove/removepackage-homeassistant","packages","[noext]","748","21","False","0","1","0","0","0",""
"packages/package/remove/removepackage-jackett","packages","[noext]","2555","68","False","0","6","3","0","1",""
"packages/package/remove/removepackage-jellyfin","packages","[noext]","685","21","False","0","0","0","0","0",""
"packages/package/remove/removepackage-lidarr","packages","[noext]","2147","57","False","0","7","3","0","0",""
"packages/package/remove/removepackage-medusa","packages","[noext]","1411","50","False","0","0","2","0","1",""
"packages/package/remove/removepackage-navidrome","packages","[noext]","673","21","False","0","1","0","0","0",""
"packages/package/remove/removepackage-netdata","packages","[noext]","667","21","False","0","0","1","0","0",""
"packages/package/remove/removepackage-nextcloud","packages","[noext]","475","12","False","7","1","0","0","0",""
"packages/package/remove/removepackage-nzbget","packages","[noext]","618","21","False","0","1","0","0","0",""
"packages/package/remove/removepackage-nzbhydra","packages","[noext]","1451","41","False","0","2","2","0","1",""
"packages/package/remove/removepackage-ombi","packages","[noext]","594","21","False","0","1","0","0","0",""
"packages/package/remove/removepackage-organizr","packages","[noext]","528","21","False","0","1","0","0","0",""
"packages/package/remove/removepackage-overseerr","packages","[noext]","654","21","False","0","1","0","0","0",""
"packages/package/remove/removepackage-pihole","packages","[noext]","550","21","False","0","1","0","0","0",""
"packages/package/remove/removepackage-plex","packages","[noext]","1347","42","False","0","2","2","0","0",""
"packages/package/remove/removepackage-portainer","packages","[noext]","603","21","False","0","0","0","0","0",""
"packages/package/remove/removepackage-prometheus","packages","[noext]","772","21","False","0","1","0","0","0",""
"packages/package/remove/removepackage-prowlarr","packages","[noext]","660","21","False","0","1","0","0","0",""
"packages/package/remove/removepackage-pyload","packages","[noext]","1415","49","False","0","4","2","0","1",""
"packages/package/remove/removepackage-qbittorrent","packages","[noext]","712","21","False","0","1","0","0","0",""
"packages/package/remove/removepackage-quassel","packages","[noext]","1207","37","False","0","0","2","0","0",""
"packages/package/remove/removepackage-quota","packages","[noext]","984","29","False","0","0","2","0","1",""
"packages/package/remove/removepackage-radarr","packages","[noext]","2147","57","False","0","7","3","0","0",""
"packages/package/remove/removepackage-rapidleech","packages","[noext]","1036","34","False","0","0","2","0","1",""
"packages/package/remove/removepackage-rclone","packages","[noext]","1128","36","False","0","0","2","0","1",""
"packages/package/remove/removepackage-readarr","packages","[noext]","647","21","False","0","1","0","0","0",""
"packages/package/remove/removepackage-sabnzbd","packages","[noext]","407","14","False","0","1","0","0","1",""
"packages/package/remove/removepackage-sickgear","packages","[noext]","129","4","False","0","0","0","0","0",""
"packages/package/remove/removepackage-sickrage","packages","[noext]","1655","56","False","0","0","2","0","1",""
"packages/package/remove/removepackage-sonarr","packages","[noext]","3240","90","False","0","3","5","0","1",""
"packages/package/remove/removepackage-subsonic","packages","[noext]","965","31","False","0","3","2","0","0",""
"packages/package/remove/removepackage-syncthing","packages","[noext]","317","12","False","0","0","0","0","1",""
"packages/package/remove/removepackage-tautulli","packages","[noext]","264","11","False","0","1","0","0","0",""
"packages/package/remove/removepackage-transmission","packages","[noext]","1887","53","False","0","6","2","0","1",""
"packages/package/remove/removepackage-uptimekuma","packages","[noext]","670","21","False","0","1","0","0","0",""
"packages/package/remove/removepackage-vaultwarden","packages","[noext]","594","21","False","0","1","0","0","0",""
"packages/package/remove/removepackage-wireguard","packages","[noext]","610","21","False","0","1","0","0","0",""
"packages/package/remove/removepackage-x2go","packages","[noext]","995","28","False","0","0","2","0","0",""
